code,name
00100,"Anesthesia for procedures on salivary glands, including biopsy"
00102,Anesthesia for procedures involving plastic repair of cleft lip
00103,"Anesthesia For Reconstructive Procedures of Eyelid (eg, blepharoplasty, ptosis surgery)"
00104,Anesthesia for electroconvulsive therapy
00120,"Anesthesia For Procedures on External, Middle, & Inner Ear Including Biopsy; Not Otherwise Specified"
00124,"Anesthesia For Procedures on External, Middle, & Inner Ear Including Biopsy; Otoscopy"
00126,"Anesthesia For Procedures on External, Middle, & Inner Ear Including Biopsy; Tympanotomy"
00140,Anesthesia For Procedures on Eye; Not Otherwise Specified
00142,Anesthesia For Procedures on Eye; Lens Surgery
01962,Anesthesia for urgent hysterectomy following delivery
01963,Anesthesia for cesarean hysterectomy without any labor analgesia/anesthesia care
01965,Anesthesia for incomplete or missed abortion procedures
01966,Anesthesia for induced abortion procedures
01967,Neuraxial labor analgesia/anesthesia for planned vaginal delivery (this includes any repeat subarachnoid needle placement and drug injection and/or any necessary replacement of an epidural catheter during labor)
01968,Anesthesia for cesarean delivery following neuraxial labor analgesia/anesthesia (List separately in addition to code for primary procedure performed)
01969,Anesthesia for cesarean hysterectomy following neuraxial labor analgesia/anesthesia (List separately in addition to code for primary procedure performed)
01990,Physiological support for harvesting of organ(s) from brain-dead patient
01991,Anesthesia For Diagnostic or Therapeutic Nerve Blocks & Injections (when block or injection is performed by a different physician or other qualified health care professional); Other Than the Prone Position
01992,Anesthesia For Diagnostic or Therapeutic Nerve Blocks & Injections (when block or injection is performed by a different physician or other qualified health care professional); Prone Position
01996,Daily hospital management of epidural or subarachnoid continuous drug administration
01999,Anesthesia Not Otherwise Specified
10021,Fine Needle Aspiration; w/Out Imaging Guidance
10022,Fine Needle Aspiration; w/Imaging Guidance
10030,"Image-Guided Fluid Collection Drainage by Catheter (eg, abscess, hematoma, seroma, lymphocele, cyst), Soft Tissue (eg, extremity, abdominal wall, neck), Percutaneous"
10040,"Acne Surgery (eg, marsupialization, opening or removal of multiple milia, comedones, cysts, pustules)"
10060,Incision & Drainage Abscess (Simple/Single)
10061,Incision & Drainage Abscess (Complicated/Multiple)
10080,Incision & Drainage of Pilonidal Cyst; Simple
10081,Incision & Drainage of Pilonidal Cyst; Complicated
10120,Removal of Foreign Body in Foot (Simple)
10121,"Incision & Removal of Foreign Body, Subcutaneous Tissues; Complicated"
10140,"Incision & Drainage of Hematoma, Seroma or Fluid Collection"
10160,Aspiration of Cyst
10180,"Incision and drainage, complex, postoperative wound infection"
11000,Debride Infected Skin
11001,"Debridement of extensive eczematous or infected skin; each additional 10% of the body surface, or part thereof (List separately in addition to code for primary procedure)"
11004,"Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia and perineum"
11005,"Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; abdominal wall, with or without fascial closure"
11006,"Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia, perineum and abdominal wall, with or without fascial closure"
11008,"Removal of prosthetic material or mesh, abdominal wall for infection (eg, for chronic or recurrent mesh infection or necrotizing soft tissue infection) (List separately in addition to code for primary procedure)"
11010,"Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin and subcutaneous tissues"
11011,"Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin, subcutaneous tissue, muscle fascia, and muscle"
11012,"Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin, subcutaneous tissue, muscle fascia, muscle, and bone"
11040,"Debridement; Skin, Partial Thickness"
11041,"Debridement; Skin, Full Thickness"
11042,"Debridement, Subcutaneous Tissue (includes epidermis and dermis, if performed); First 20 sq cm or Less"
11043,Debride Skin Tissue Muscle
11044,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less"
11045,"Debridement, Subcutaneous Tissue (includes epidermis and dermis, if performed); Each Addtl 20 sq cm, or Part Thereof"
11046,"Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
11047,"Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
11055,Debride Hyperkeratotic Lesion
11056,Debride Hyperkeratotic Lesion (2-4)
11057,Debride Hyperkeratotic Lesions (>4)
11100,Biopsy of Skin Subq Tissue 1 Lesion
11101,"Biopsy of Skin, Subcutaneous Tissue and/or Mucous Membrane (including simple closure), Unless Otherwise Listed; Each Separate/Addtl Lesion"
11200,Removal of Skin Tag (up to 15)
11201,"Removal, Skin Tags, Multiple Fibrocutaneous Tags, Any Area"
11300,"Shaving of Epidermal/Dermal Lesion, Single Lesion, Trunk, Arms/Legs; Lesion Diameter 0.5 cm or Less"
11301,"Shaving of Epidermal/Dermal Lesion, Single Lesion, Trunk, Arms/Legs; Lesion Diameter 0.6 to 1.0 cm"
11302,"Shaving of Epidermal/Dermal Lesion, Single Lesion, Trunk, Arms/Legs; Lesion Diameter 1.1 to 2.0 cm"
11303,"Shaving of Epidermal/Dermal Lesion, Single Lesion, Trunk, Arms/Legs; Lesion Diameter Over 2.0 cm"
11305,Shaving Skin Lesion Diam 0.5 cm
11306,Shaving Skin Lesion Diam 0.6-1.0 cm
11307,Shaving Skin Lesion Diam 1.1-2.0 cm




11450,Excision of Skin/Subcutaneous Tissue Axillary; Simple or Intermediate Repair
11451,"Excision of Skin/Subcutaneous Tissue for Hidradenitis, Axillary; Complex Repair"
11462,"Excision of Skin/Subcutaneous Tissue for Hidradenitis, Inguinal; Simple or Intermediate Repair"
11463,"Excision of Skin/Subcutaneous Tissue for Hidradenitis, Inguinal; Complex Repair"
11470,"Excision of Skin/Subcutaneous Tissue for Hidradenitis, Perianal, Perineal, or Umbilical; Simple or Intermediate Repair"
11471,"Excision of Skin/Subcutaneous Tissue for Hidradenitis, Perianal, Perineal, or Umbilical; Complex Repair"
11600,"Excision, Malignant Lesion Including Margins, Trunk, Arms/Legs; Excised Diameter 0.5 cm or Less"
11601,"Excision, Malignant Lesion Including Margins, Trunk, Arms/Legs; Excised Diameter 0.6 to 1.0 cm"
11602,"Excision, Malignant Lesion Including Margins, Trunk, Arms/Legs; Excised Diameter 1.1 to 2.0 cm"
11603,"Excision, Malignant Lesion Including Margins, Trunk, Arms/Legs; Excised Diameter 2.1 to 3.0 cm"
11604,"Excision, Malignant Lesion Including Margins, Trunk, Arms/Legs; Excised Diameter 3.1 to 4.0 cm"
11606,"Excision, Malignant Lesion Including Margins, Trunk, Arms/Legs; Excised Diameter Over 4.0 cm"
11620,"Excision, Malignant Lesion Including Margins, Scalp, Neck, Hands, Feet, Genitalia; Excised Diameter 0.5 cm or Less"
11621,"Excision, Malignant Lesion Including Margins, Scalp, Neck, Hands, Feet, Genitalia; Excised Diameter 0.6 to 1.0 cm"
11622,"Excision, Malignant Lesion Including Margins, Scalp, Neck, Hands, Feet, Genitalia; Excised Diameter 1.1 to 2.0 cm"
11623,"Excision, Malignant Lesion Including Margins, Scalp, Neck, Hands, Feet, Genitalia; Excised Diameter 2.1 to 3.0 cm"
11624,"Excision, Malignant Lesion Including Margins, Scalp, Neck, Hands, Feet, Genitalia; Excised Diameter 3.1 to 4.0 cm"
11626,"Excision, Malignant Lesion Including Margins, Scalp, Neck, Hands, Feet, Genitalia; Excised Diameter Over 4.0 cm"
11640,"Excision, Malignant Lesion Including Margins, Face, Ears, Eyelids, Nose, Lips; Excised Diameter 0.5 cm or Less"
11641,"Excision, Malignant Lesion Including Margins, Face, Ears, Eyelids, Nose, Lips; Excised Diameter 0.6 to 1.0 cm"
11642,"Excision, Malignant Lesion Including Margins, Face, Ears, Eyelids, Nose, Lips; Excised Diameter 1.1 to 2.0 cm"
11643,"Excision, Malignant Lesion Including Margins, Face, Ears, Eyelids, Nose, Lips; Excised Diameter 2.1 to 3.0 cm"
11644,"Excision, Malignant Lesion Including Margins, Face, Ears, Eyelids, Nose, Lips; Excised Diameter 3.1 to 4.0 cm"
11646,"Excision, Malignant Lesion Including Margins, Face, Ears, Eyelids, Nose, Lips; Excised Diameter Over 4.0 cm"
11719,"Trimming of Nondystrophic Nnails, Any Number"
11720,Debridement of Toenails
11721,Debridement of Toenails 6 or More
11730,Nail Avulsion (Single)
11732,Avulsion Nail Plate Partial/Comp Simple Ea Addtl
11740,Evacuation of Subungual Hematoma
11750,Excision on Toenail
11752,"Excision of Nail and Nail Matrix, Partial or Complete (eg, ingrown or deformed nail), for Permanent Removal; w/Amputation of Tuft of Distal Phalanx"
11755,Biopsy Nail Unit Sperarate Procedure
11760,Repair of Nail Bed
11762,Reconstruction of Nail Bed w/Graft
11765,Wedge Excision Skin Nail Fold
11770,Excision of Pilonidal Cyst or Sinus; Simple
11771,Excision of Pilonidal Cyst or Sinus; Extensive
11772,Excision of Pilonidal Cyst or Sinus; Complicated
11900,Injection Intralesional Up to & Include 7 Lesions
11901,Injection Intralesional; More Than 7 Lesions
11920,"Tattooing, Intradermal Introduction of Insoluble Opaque Pigments to Correct Color Defects of Skin, Including Micropigmentation; 6.0 sq cm or Less"
11921,"Tattooing, Intradermal Introduction of Insoluble Opaque Pigments to Correct Color Defects of Skin, Including Micropigmentation; 6.1 to 20.0 sq cm"
11922,"Tattooing, Intradermal Introduction of Insoluble Opaque Pigments to Correct Color Defects of Skin, Including Micropigmentation; Each Addtl 20.0 sq cm, or Part thereof"
11950,"Subcutaneous Injection of Filling Material (eg, collagen); 1 cc or Less"
11951,"Subcutaneous Injection of Filling Material (eg, collagen); 1.1 to 5.0 cc"
11952,"Subcutaneous Injection of Filling Material (eg, collagen); 5.1 to 10.0 cc"
11954,"Subcutaneous Injection of Filling Material (eg, collagen); Over 10.0 cc"
11960,"Insertion of Tissue Expander(s) for Other Than Breast, Including Subsequent Expansion"
11970,Replacement of Tissue Expander w/Permanent Prosthesis
11971,Removal of Tissue Expander(s) w/Out Insertion of Prosthesis
11976,"Removal, Implantable Contraceptive Capsules"
11980,Subcutaneous Hormone Pellet Implantation (implantation of estradiol and/or testosterone pellets beneath the skin)
11981,"Insertion, Non-Biodegradable Drug Delivery Implant"
11982,"Removal, Non-Biodegradable Drug Delivery Implant"
11983,"Removal w/Reinsertion, Non-Biodegradable Drug Delivery Implant"
12001,"Simple Repair, Superficial Wounds, Scalp/Neck/Axillae/Genitalia 2.5-cm/<"
12002,"Simple Repair of Superficial Wounds of Scalp, Neck, Axillae, External Genitalia, Trunk and/or Extremities (including hands and feet); 2.6 cm to 7.5 cm"
12004,"Simple Repair of Superficial Wounds of Scalp, Neck, Axillae, External Genitalia, Trunk and/or Extremities (including hands and feet); 7.6 cm to 12.5 cm"
12005,"Simple Repair, Superficial Wounds, Scalp/Neck/Axillae/Genitalia/Trunk/Extremities; 12.6-20.0cm"
12006,"Simple Repair of Superficial Wounds of Scalp, Neck, Axillae, External Genitalia, Trunk and/or Extremities (including hands and feet); 20.1 cm to 30.0 cm"
12007,"Simple Repair of Superficial Wounds of Scalp, Neck, Axillae, External Genitalia, Trunk and/or Extremities (including hands and feet); Over 30.0 cm"
12011,"Simple Repair, Superficial Wounds, Face/Ears/Eyelids/Nose/Lips/Mouth 2.5cm /<"
12013,"Simple Repair of Superficial Wounds of Face, Ears, Eyelids, Nose, Llips and/or Mucous Membranes; 2.6 cm to 5.0 cm"
12014,"Simple Repair of Superficial Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; 5.1 cm to 7.5 cm"
12015,"Simple Repair of Superficial Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; 7.6 cm to 12.5 cm"
12016,"Simple Repair of Superficial Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; 12.6 cm to 20.0 cm"
12017,"Simple Repair of Superficial Wounds of Face, Ears, Eyelids, Nose, Lips and/or Mucous Membranes; 20.1 cm to 30.0 cm"
